Date,Index Name,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield
1/1/2026,BSE LARGECAP 100 MOMENTUM 30,21590.86,21590.86,21590.86,21590.86,68.15,0.3166422815700,1.00,779.20,21.00,4.13,1.25
1/1/2026,BSE LARGECAP 100 LOW VOLATILITY 30,20754.27,20754.27,20754.27,20754.27,-50.47,-0.2425889484800,1.75,1277.54,27.60,5.41,1.23
1/1/2026,BSE LARGECAP 100 ENHANCED VALUE 30,10888.37,10888.37,10888.37,10888.37,55.95,0.5165050838100,1.45,804.02,9.84,1.91,2.66
1/1/2026,BSE LARGECAP 100 QUALITY 30,20494.14,20494.14,20494.14,20494.14,-71.04,-0.3454382602000,1.50,814.83,32.72,10.30,1.85
1/1/2026,BSE LargeMidCap,11068.52,11068.52,11068.52,11068.52,19.44,0.1759422503900,29.38,3371.26,24.87,4.52,1.11
1/1/2026,BSE MidSmallCap,13177.74,13177.74,13177.74,13177.74,16.30,0.1238466307600,15.94,2821.56,32.58,4.19,0.70
1/1/2026,BSE 500 Shariah,9979.29,9979.29,9979.29,9979.29,46.13,0.4644040768400,3.28,1792.52,30.19,5.56,1.13
1/1/2026,BSE India 10 Year Sovereign Bond ,,,,111.21,-0.11,-0.0988142292400,,,,,
1/1/2026,BSE SENSEX Next 50 TMC,14262.59,14262.59,14262.59,14262.59,75.02,0.5287727214700,1.64,501.12,20.46,4.18,1.30
1/1/2026,BSE SENSEX 50 TMC,8818.42,8818.42,8818.42,8818.42,0.76,0.0086190667300,2.39,1700.68,23.48,4.37,1.18
1/1/2026,BSE Financials Ex-Banks 30 Index ,10317.24,10317.24,10317.24,10317.24,12.15,0.1179029004100,0.48,259.96,24.06,4.17,0.79
1/1/2026,BSE Housing Index,3369.53,3369.53,3369.53,3369.53,25.70,0.7685797423900,0.21,167.21,35.56,5.27,0.46
1/1/2026,BSE REITs and InvITs Index,151.25,151.25,151.25,151.25,0.52,0.3449877263900,0.02,2.12,12.11,,6.67
1/1/2026,BSE 250 LARGEMIDCAP 65:35 INDEX,,,,12390.82,24.81,0.2000000000000,,,,,
1/1/2026,BSE ARBITRAGE RATE INDEX,,,,2825.65,1.18,0.0400000000000,,,,,
1/1/2026,BSE LIQUID RATE INDEX,,,,1710.88,0.24,0.0100000000000,,,,,
