Date,Index Name,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield
1/2/2026,BSE SENSEX,85259.36,85812.27,85068.88,85762.01,573.41,0.6731064954700,1.79,1309.99,23.66,4.60,1.12
1/2/2026,BSE 100,27404.89,27592.55,27359.96,27577.11,201.13,0.7346951597700,6.30,2380.08,23.38,4.33,1.18
1/2/2026,BSE 200,11844.39,11929.35,11827.96,11923.75,93.17,0.7875353532900,21.38,3352.59,24.77,4.53,1.12
1/2/2026,BSE 500,37539.53,37815.41,37495.25,37799.57,302.47,0.8066490475200,29.69,5314.64,25.44,4.50,1.06
1/2/2026,BSE CAPITAL GOODS,67373.46,67915.61,67348.56,67872.72,612.94,0.9113024157900,1.27,330.94,53.95,13.40,0.43
1/2/2026,BSE CONSUMER DURABLES,59996.94,60614.61,59871.10,60481.93,518.27,0.8643068151600,0.10,107.96,66.57,16.54,0.49
1/2/2026,BSE PSU,20705.10,21120.43,20695.48,21073.75,417.92,2.0232544516400,4.98,1240.75,12.10,2.29,2.50
1/2/2026,BSE TECK,18674.93,18727.27,18634.58,18705.48,60.26,0.3231927539600,12.50,319.65,29.86,9.39,1.84
1/2/2026,BSE BANKEX,67010.27,67561.37,66934.34,67483.35,573.50,0.8571234280100,2.52,624.95,16.15,2.39,0.98
1/2/2026,BSE AUTO,63324.84,63926.41,63129.65,63808.86,659.56,1.0444454649500,0.31,278.11,33.27,7.05,1.06
1/2/2026,BSE METAL,37218.88,37692.79,37176.19,37656.19,541.02,1.4576788951700,0.72,193.24,20.75,3.22,1.38
1/2/2026,BSE OIL & GAS,28743.24,28934.33,28711.63,28910.20,224.84,0.7838144614500,0.25,130.21,10.59,1.73,3.06
1/2/2026,BSE DOLLEX 30,7779.49,7820.29,7762.11,7804.21,31.18,0.4011305758500,,,23.66,4.60,1.12
1/2/2026,BSE DOLLEX 100,3150.82,3168.67,3145.66,3162.04,14.56,0.4625922960500,,,23.38,4.33,1.18
1/2/2026,BSE DOLLEX 200,2191.62,2204.92,2188.58,2200.32,11.27,0.5148352024800,,,24.77,4.53,1.12
1/2/2026,BSE REALTY,6851.92,6971.15,6850.98,6963.94,100.08,1.4580716972600,0.12,85.07,44.36,5.59,0.33
1/2/2026,BSE POWER,6584.86,6732.37,6578.92,6725.89,148.76,2.2617767932200,2.39,300.54,30.48,4.26,1.22
1/2/2026,BSE IPO,15629.36,15849.51,15611.00,15835.27,201.71,1.2902371564700,1.13,328.14,96.94,45.50,0.12
1/2/2026,BSE SME IPO,96213.18,96234.91,95598.71,95980.32,-128.07,-0.1332557958700,1.19,88.68,10.63,11.47,0.03
1/2/2026,BSE India Infrastructure Index,587.82,596.08,587.18,595.62,9.16,1.5619138560100,2.55,441.72,15.81,2.95,1.77
1/2/2026,BSE CPSE,3855.03,3936.96,3852.97,3934.51,90.48,2.3537797571800,3.66,961.05,14.82,2.62,2.75
1/2/2026,BSE MidCap,47161.62,47563.04,47132.12,47539.18,457.57,0.9718656604900,7.97,1111.84,32.95,5.07,0.76
1/2/2026,BSE SmallCap,51562.04,51946.55,51503.67,51920.13,404.78,0.7857463843300,17.21,3142.33,32.79,3.63,0.64
1/2/2026,BSE Fast Moving Consumer Goods,19694.68,19694.68,19416.96,19520.75,-221.23,-1.1206069502600,1.85,896.31,37.33,8.16,1.86
1/2/2026,BSE Healthcare,43778.39,44074.37,43667.72,44057.70,322.70,0.7378529781600,0.29,153.89,38.88,6.65,0.53
1/2/2026,BSE Information Technology,37013.43,37170.14,36889.49,37136.91,190.60,0.5158837242400,1.00,394.28,27.95,7.79,2.26
1/2/2026,BSE India Manufacturing Index,1103.82,1113.47,1101.89,1112.86,9.63,0.8728914188300,1.61,842.16,21.90,4.01,1.64
1/2/2026,BSE AllCap,10984.66,10984.66,10984.66,10984.66,87.87,0.8063842654500,42.19,6919.00,25.98,4.39,1.03
1/2/2026,BSE Commodities,8103.66,8182.41,8099.01,8179.44,79.93,0.9868498217700,2.01,812.64,26.66,3.33,0.94
1/2/2026,BSE Consumer Discretionary,9920.94,10006.53,9910.25,10003.35,95.46,0.9634745642100,8.34,1300.39,48.65,7.23,0.64
1/2/2026,BSE Energy,12267.54,12445.13,12256.34,12433.64,193.24,1.5787065782100,0.69,281.88,11.94,2.06,2.70
1/2/2026,BSE Financial Services,13202.28,13322.44,13181.40,13310.89,123.45,0.9361180031900,7.40,1545.43,18.79,3.15,0.86
1/2/2026,BSE Industrials,14826.61,14934.03,14814.83,14927.99,123.58,0.8347512666800,3.83,915.51,36.90,7.25,0.60
1/2/2026,BSE LargeCap,10051.91,10124.92,10036.22,10119.62,77.99,0.7766667363700,17.01,2664.84,23.89,4.46,1.17
1/2/2026,BSE MidCap Select Index,17670.51,17819.93,17643.66,17812.57,177.74,1.0078917687300,3.21,482.40,37.41,5.53,0.58
1/2/2026,BSE SmallCap Select Index,8079.55,8120.75,8059.83,8114.38,51.73,0.6416004663400,1.87,805.00,30.41,3.84,0.70
1/2/2026,BSE Telecommunication,3179.99,3203.99,3174.51,3185.33,9.80,0.3086099013300,12.92,232.66,-92.38,-10.67,0.43
1/2/2026,BSE Utilities,5224.49,5363.20,5217.37,5357.48,141.44,2.7116356469600,2.82,293.39,23.21,3.08,1.65
1/2/2026,BSE SENSEX 50,27320.97,27505.75,27266.24,27490.33,193.28,0.7080618601600,2.26,1613.35,23.45,4.40,1.16
1/2/2026,BSE SENSEX Next 50,87365.46,88002.03,87311.59,87946.40,740.14,0.8487234746600,4.04,766.72,23.10,4.08,1.30
1/2/2026,BSE Bharat 22 Index,9056.62,9191.76,9036.77,9181.96,129.45,1.4299901353300,3.00,851.67,13.89,2.79,2.67
1/2/2026,BSE 100 ESG Index,437.41,440.37,436.69,440.12,3.16,0.7231783229500,6.26,2358.18,23.50,4.32,1.21
1/2/2026,BSE 150 MidCap Index,16521.92,16647.63,16506.23,16641.08,151.49,0.9187008288200,18.86,1633.56,35.88,5.45,0.75
1/2/2026,BSE 250 SmallCap Index,6665.77,6721.98,6661.29,6717.89,54.90,0.8239544108500,6.63,1455.17,32.34,3.97,0.69
1/2/2026,BSE 250 LargeMidCap Index,11222.29,11304.12,11207.56,11299.00,90.22,0.8049047264700,23.07,3859.47,24.90,4.56,1.10
1/2/2026,BSE 400 MidSmallCap Index,12188.07,12282.13,12177.75,12278.39,108.04,0.8877312484800,25.48,3088.73,34.64,4.86,0.73
1/2/2026,BSE Dividend Stability Index,1060.16,1072.98,1058.98,1072.28,14.38,1.3592967199100,2.31,1454.04,14.15,3.05,2.78
1/2/2026,BSE Enhanced Value Index,1058.12,1071.31,1057.35,1069.99,14.68,1.3910604466900,2.06,459.93,9.43,1.66,2.70
1/2/2026,BSE Low Volatility Index,1883.05,1899.03,1881.43,1895.92,11.47,0.6086656584100,1.28,716.33,27.74,5.57,1.09
1/2/2026,BSE Momentum Index,2221.15,2231.69,2217.32,2230.89,15.12,0.6823812940800,0.29,301.89,44.90,8.44,0.76
1/2/2026,BSE Quality Index ,1879.83,1890.13,1873.60,1888.71,11.17,0.5949274050000,1.31,709.31,28.13,10.25,2.36
1/2/2026,BSE Diversified Financials Revenue Growth Index,1701.20,1712.27,1699.00,1708.96,9.76,0.5743879472600,1.02,862.40,29.84,3.84,0.48
1/2/2026,BSE 100 LargeCap TMC Index,9653.88,9723.93,9637.84,9718.89,74.67,0.7742461287600,4.21,2225.91,23.00,4.37,1.20
1/2/2026,BSE Private Banks Index,21155.23,21305.68,21129.48,21284.94,158.23,0.7489571258300,2.10,515.80,21.61,2.82,0.63
1/2/2026,BSE Services,1559.44,1564.60,1555.57,1563.14,6.87,0.4414401100000,1.03,92.62,31.93,6.27,0.66
1/2/2026,BSE SENSEX NEXT 30,40627.61,41037.87,40593.10,41016.94,446.19,1.0997824787500,1.56,459.25,22.38,4.11,1.34
1/2/2026,BSE SENSEX SIXTY,35137.07,35390.69,35071.98,35370.63,266.80,0.7600310279500,3.35,1769.24,23.39,4.49,1.16
1/2/2026,BSE SENSEX SIXTY 65:35,35645.59,35922.69,35589.81,35902.73,293.98,0.8255835995300,3.35,1769.24,23.19,4.41,1.18
1/2/2026,BSE POWER & ENERGY,3901.50,3980.00,3898.74,3977.84,83.96,2.1562040946300,3.04,512.83,14.82,2.40,2.39
1/2/2026,BSE 200 EQUAL WEIGHT INDEX,13467.83,13581.59,13459.47,13577.79,130.07,0.9672271582000,21.38,3352.59,28.36,4.82,1.02
1/2/2026,BSE INTERNET ECONOMY,3150.97,3172.64,3147.84,3164.60,19.66,0.6251311630700,12.35,360.06,1889.12,19.03,0.42
1/2/2026,BSE CAPITAL MARKETS & INSURANCE,2399.86,2420.03,2394.07,2415.98,19.51,0.8141140928100,0.15,167.79,43.77,9.63,0.79
1/2/2026,BSE Focused IT ,44578.86,44724.11,44382.51,44673.18,188.97,0.4248024186500,0.07,99.03,28.80,7.92,2.59
