Date,Index Name,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield
1/2/2026,BSE PREMIUM CONSUMPTION,5500.15,5528.93,5491.24,5524.74,35.46,0.6459863588600,0.41,337.33,52.00,10.62,0.48
1/2/2026,BSE FOCUSED MIDCAP,24969.69,25137.04,24929.38,25122.03,208.83,0.8382303357200,2.98,352.03,31.83,4.43,0.67
1/2/2026,BSE SELECT BUSINESS GROUPS,4631.88,4669.47,4626.55,4667.47,42.96,0.9289632847500,12.80,641.69,29.03,4.37,0.65
1/2/2026,BSE SENSEX EQUAL WEIGHT,82816.79,83359.64,82645.96,83321.76,575.10,0.6950129467400,1.79,1309.99,28.00,5.46,1.13
1/2/2026,BSE SELECT IPO,4630.57,4668.13,4622.85,4665.79,41.86,0.9052905212600,3.64,528.83,76.27,7.71,0.32
1/2/2026,BSE PSU BANK,4875.73,4955.42,4872.24,4935.92,74.49,1.5322651976800,1.03,160.03,8.76,1.61,2.21
1/2/2026,BSE INDIA SECTOR LEADERS,15513.44,15608.05,15490.72,15599.33,103.66,0.6689610710600,2.49,1224.62,25.54,4.64,1.16
1/2/2026,BSE 1000,11136.77,11218.54,11124.29,11213.89,89.33,0.8029980511500,34.59,6242.11,25.74,4.42,1.04
1/2/2026,BSE NEXT 500,15136.30,15136.30,15136.30,15136.30,110.75,0.7370778440700,4.90,927.47,32.65,3.41,0.63
1/2/2026,BSE 250 MICROCAP,17204.63,17204.63,17204.63,17204.63,141.72,0.8305734484900,2.56,404.99,29.55,3.78,0.63
1/2/2026,BSE Next 250 MICROCAP,4932.48,4932.48,4932.48,4932.48,24.42,0.4975489297100,2.34,522.48,44.70,2.72,0.64
1/2/2026,BSE 1000 MULTICAP EQUAL SIZE WEIGHTED (25%),15938.01,15938.01,15938.01,15938.01,128.70,0.8140772747100,34.59,6242.11,30.11,4.18,0.80
1/2/2026,BSE 500 Enhanced Value 50,18462.59,18462.59,18462.59,18462.59,299.49,1.6488925348600,2.75,631.03,9.22,1.67,2.92
1/2/2026,BSE 500 Quality 50,21813.70,21942.73,21749.61,21926.36,156.17,0.7173570832400,2.48,1038.86,32.07,12.06,1.66
1/2/2026,BSE India 150,19543.02,19687.00,19514.95,19676.89,155.36,0.7958392605400,7.35,2911.31,24.40,4.48,1.13
1/2/2026,BSE 500 Dividend Leaders 50,3700.77,3700.77,3700.77,3700.77,58.53,1.6069781233500,3.55,989.10,12.51,2.66,3.36
1/2/2026,BSE 500 Low Volatility 50,16492.73,16492.73,16492.73,16492.73,113.13,0.6906762069800,1.71,1388.99,30.48,6.00,1.01
1/2/2026,BSE 500 Momentum 50 ,44614.70,44797.56,44552.83,44723.70,283.74,0.6384794225700,0.78,566.51,31.49,6.22,0.91
1/2/2026,BSE Insurance,1816.22,1816.22,1816.22,1816.22,12.32,0.6829646876200,0.03,18.32,50.36,8.13,0.37
1/2/2026,BSE India Defence ,6695.80,6695.80,6695.80,6695.80,52.34,0.7878424796700,0.34,251.07,50.05,10.62,0.52
1/2/2026,BSE CAPITAL MARKETS,3536.39,3536.39,3536.39,3536.39,37.17,1.0622367270400,0.13,153.28,40.31,12.78,1.17
1/2/2026,BSE Hospitals,4794.67,4794.67,4794.67,4794.67,52.11,1.0987736581000,0.02,24.17,64.86,11.09,0.20
1/2/2026,BSE Multicap Consumption (50:30:20),11568.97,11568.97,11568.97,11568.97,52.38,0.4548221305000,4.29,1501.03,45.73,8.29,0.96
1/2/2026,BSE Top 10 Banks,18202.12,18202.12,18202.12,18202.12,133.62,0.7395190524900,0.69,540.63,18.44,2.92,1.20
1/2/2026,BSE LARGECAP 100 MOMENTUM 30,21763.03,21763.03,21763.03,21763.03,172.17,0.7974207604500,1.17,870.76,21.17,4.16,1.24
1/2/2026,BSE LARGECAP 100 LOW VOLATILITY 30,20888.00,20888.00,20888.00,20888.00,133.73,0.6443493314800,1.57,1141.65,27.77,5.45,1.22
1/2/2026,BSE LARGECAP 100 ENHANCED VALUE 30,11087.67,11087.67,11087.67,11087.67,199.30,1.8303933462900,2.51,1105.18,10.02,1.95,2.61
1/2/2026,BSE LARGECAP 100 QUALITY 30,20648.80,20648.80,20648.80,20648.80,154.66,0.7546547452100,1.32,710.45,32.97,10.38,1.83
1/2/2026,BSE LargeMidCap,11158.18,11158.18,11158.18,11158.18,89.66,0.8100450647400,24.98,3776.67,25.07,4.55,1.10
1/2/2026,BSE MidSmallCap,13293.41,13293.41,13293.41,13293.41,115.67,0.8777681150100,25.18,4254.17,32.87,4.23,0.70
1/2/2026,BSE 500 Shariah,10070.02,10070.02,10070.02,10070.02,90.73,0.9091829178200,4.73,2259.68,30.46,5.61,1.12
1/2/2026,BSE India 10 Year Sovereign Bond ,,,,111.15,-0.06,-0.0539519827300,,,,,
1/2/2026,BSE SENSEX Next 50 TMC,14405.47,14405.47,14405.47,14405.47,142.88,1.0017815838400,1.85,639.96,20.67,4.22,1.29
1/2/2026,BSE SENSEX 50 TMC,8881.77,8881.77,8881.77,8881.77,63.35,0.7183826581100,2.36,1585.94,23.65,4.40,1.17
1/2/2026,BSE Financials Ex-Banks 30 Index ,10425.93,10425.93,10425.93,10425.93,108.69,1.0534794189100,0.61,382.78,24.32,4.22,0.79
1/2/2026,BSE Housing Index,3408.73,3408.73,3408.73,3408.73,39.20,1.1633669977700,0.19,171.75,35.97,5.33,0.46
1/2/2026,BSE REITs and InvITs Index,152.03,152.03,152.03,152.03,0.78,0.5157024793300,0.03,2.86,12.17,,6.64
1/2/2026,BSE 250 LARGEMIDCAP 65:35 INDEX,,,,12493.02,102.20,0.8200000000000,,,,,
1/2/2026,BSE ARBITRAGE RATE INDEX,,,,2829.52,3.87,0.1400000000000,,,,,
1/2/2026,BSE LIQUID RATE INDEX,,,,1711.13,0.25,0.0100000000000,,,,,
